model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,final_model,note
cnn_features_1d_sa,nmc,spinel5v,common,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,transfer,
cnn_features_1d_sa,nmc,fcg,common,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d_sa,lirich,spinel5v,common,0.75,0.8333333333333334,0.08333333333333337,0.75,0.8333333333333334,0.0,0.0,0.0,0.0,transfer,
cnn_features_1d_sa,spinel5v,nmc,common,0.6756756756756757,0.7837837837837838,0.10810810810810811,0.6756756756756757,0.7837837837837838,0.0,0.0,0.0,0.0,transfer,
cnn_features_1d_sa,spinel5v,lirich,common,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d_sa,fcg,nmc,common,0.6351351351351351,0.7837837837837838,0.14864864864864868,0.6351351351351351,0.7837837837837838,0.0,0.0,0.0,0.0,transfer,
