cycle_number,energy_charge,capacity_charge,energy_discharge,capacity_discharge,cycle_start,cycle_duration,filename,battery_name,batch,cell_id,anode,cathode,electrolyte,dataset_name,eol_cycle,eol_class,eol_class_encoded
1527,-1.3843238311332775,-1.4447835845432275,-3.6105639251230066,-3.1425314014554377,1.644453064106919,-0.9050911620995646,batch_B9A_cell_2.h5,batch_B9A_cell_2,B9A,2,C,HE5050,Gen 2,Argonne,10,Short,2
1551,-1.2318421513688491,-1.2670888332713035,-1.2955203929992372,-1.5716267324282922,1.6219308808715478,-0.24129656043672243,batch_B38D_cell_3.h5,batch_B38D_cell_3,B38D,3,C,NMC622,Gen 2,Argonne,15,Moderate,1
1555,-1.1236249230733102,-1.4429442614444188,-1.5889208288600674,-1.6617813262536032,1.6578960562772265,1.361743672817174,batch_B27B_cell_1.h5,batch_B27B_cell_1,B27B,1,C,NMC111,Gen 2,Argonne,13,Moderate,1
1555,-1.1131784126701325,-1.433525019285052,-1.6156207303177572,-1.6929123123474086,1.654734190503904,1.356488156540062,batch_B27B_cell_6.h5,batch_B27B_cell_6,B27B,6,C,NMC111,Gen 2,Argonne,13,Moderate,1
1555,-1.1962578557626593,-1.5450768579741054,-1.838502771674299,-1.8383216467694972,1.6528541040896843,1.349018460781416,batch_B27B_cell_4.h5,batch_B27B_cell_4,B27B,4,C,NMC111,Gen 2,Argonne,12,Short,2
1555,-1.185638715571985,-1.5085659989875448,-1.6329806717880497,-1.7548189048124467,1.654152191683107,1.3403529039950497,batch_B27B_cell_7.h5,batch_B27B_cell_7,B27B,7,C,NMC111,Gen 2,Argonne,12,Short,2
1555,-1.1977713945679316,-1.5340662130042015,-1.6634861719790206,-1.7358838800656964,1.6568031903529872,1.3654423945160885,batch_B27B_cell_8.h5,batch_B27B_cell_8,B27B,8,C,NMC111,Gen 2,Argonne,13,Moderate,1
1602,-0.8292758359731065,-0.8760374754643312,-0.9139318283112547,-0.9045328868498135,1.6379079115506454,-0.2542735917566604,batch_B38D_cell_4.h5,batch_B38D_cell_4,B38D,4,C,NMC622,Gen 2,Argonne,19,Long,0
1765,-0.14577007048481913,-0.16437758408697425,-1.203803483101649,-0.7543781942565075,1.7545627287565408,-0.5887191303006457,batch_B9A_cell_1.h5,batch_B9A_cell_1,B9A,1,C,HE5050,Gen 2,Argonne,10,Short,2
1945,-1.3834318271085688,-1.3895378742366762,-4.724359837676637,-3.3991627354112173,1.673280120438091,-0.7113292000078986,batch_B6A_cell_28.h5,batch_B6A_cell_28,B6A,28,C,NMC111,Gen 2,Argonne,51,Long,0
2027,-1.207018032892085,-1.2704836159854338,-1.3268676948666993,-1.4015425273757727,1.6483816736342578,1.5475188710993522,batch_B26L_cell_2.h5,batch_B26L_cell_2,B26L,2,C,5Vspinel,E8,Argonne,15,Moderate,1
2027,-1.3623344533276838,-1.4237823002613528,-1.5087772267216188,-1.5830495063912786,1.6491857854526746,1.5433546603138824,batch_B26L_cell_1.h5,batch_B26L_cell_1,B26L,1,C,5Vspinel,E8,Argonne,19,Long,0
2144,-11.079159952321065,-10.712953901281825,-8.360376635631514,-6.606226309446658,1.6617026466484304,38.36927057498865,batch_B6A_cell_32.h5,batch_B6A_cell_32,B6A,32,C,NMC111,Gen 2,Argonne,10,Short,2
2145,-1.3471153309555484,-1.3455178756185104,-4.138974612996069,-2.9920150192799095,1.6624974361341898,-0.7800085721411819,batch_B6A_cell_43.h5,batch_B6A_cell_43,B6A,43,C,NMC111,Gen 2,Argonne,92,Long,0
2147,-1.3563478734653667,-1.3546049540564595,-3.9929450765471146,-2.843323640017208,1.6564855155475577,-0.7869745165192907,batch_B6A_cell_42.h5,batch_B6A_cell_42,B6A,42,C,NMC111,Gen 2,Argonne,10,Short,2
