model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_accuracy,transfer_accuracy,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,transfer_uncertainty_mean_entropy,final_model,note
cnn_features_1d_sa,nmc,spinel5v,accuracy,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d_sa,nmc,fcg,accuracy,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d_sa,lirich,spinel5v,accuracy,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d_sa,spinel5v,nmc,accuracy,0.6216216216216216,0.7432432432432432,0.1216216216216216,0.6216216216216216,0.7432432432432432,0.6216216216216216,0.7432432432432432,0.0,0.0,0.0,0.0,,transfer,
cnn_features_1d_sa,spinel5v,lirich,accuracy,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_features_1d_sa,fcg,nmc,accuracy,0.6756756756756757,0.7567567567567568,0.08108108108108114,0.6756756756756757,0.7567567567567568,0.6756756756756757,0.7567567567567568,0.0,0.0,0.0,0.0,,transfer,
