model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_accuracy,transfer_accuracy,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,transfer_uncertainty_mean_entropy,final_model,note
cnn_features_1d_sa,nmc,spinel5v,accuracy,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,1.2131390074888866,baseline,baseline_kept
cnn_features_1d_sa,nmc,fcg,accuracy,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.97850235303243,baseline,baseline_kept
cnn_features_1d_sa,lirich,spinel5v,accuracy,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,2.301382839679718,baseline,baseline_kept
cnn_features_1d_sa,spinel5v,nmc,accuracy,0.6216216216216216,0.7837837837837838,0.16216216216216217,0.6216216216216216,0.7837837837837838,0.6216216216216216,0.7837837837837838,0.0,0.0,0.0,0.0,0.6225267136375092,transfer,
cnn_features_1d_sa,spinel5v,lirich,accuracy,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.017328828573227,baseline,baseline_kept
cnn_features_1d_sa,fcg,nmc,accuracy,0.6756756756756757,0.7027027027027027,0.027027027027027084,0.6756756756756757,0.7027027027027027,0.6756756756756757,0.7027027027027027,0.0,0.0,0.0,0.0,0.9658888193854501,transfer,
