model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_accuracy,transfer_accuracy,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,transfer_uncertainty_mean_entropy,final_model,note
cnn_features_1d,nmc,spinel5v,accuracy,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,1.5707107384999592,baseline,baseline_kept
cnn_features_1d,nmc,fcg,accuracy,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.569088339805603,baseline,baseline_kept
cnn_features_1d,lirich,spinel5v,accuracy,0.75,0.75,0.0,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,1.5772232115268707,baseline,baseline_kept
cnn_features_1d,spinel5v,nmc,accuracy,0.6216216216216216,0.6216216216216216,0.0,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.0,0.0,0.0,0.0,1.5588460774035067,baseline,baseline_kept
cnn_features_1d,spinel5v,lirich,accuracy,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.597830355167389,baseline,baseline_kept
cnn_features_1d,fcg,nmc,accuracy,0.6756756756756757,0.6756756756756757,0.0,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.6756756756756757,0.0,0.0,0.0,0.0,1.560999725316022,baseline,baseline_kept
