model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,final_model,note
cnn_features_1d,nmc,spinel5v,common,0.16666666666666666,0.4166666666666667,0.25,0.16666666666666666,0.4166666666666667,0.0,0.0,0.0,0.0,transfer,
cnn_features_1d,nmc,fcg,common,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,lirich,spinel5v,common,0.75,0.75,0.0,0.75,0.75,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,spinel5v,nmc,common,0.6756756756756757,0.7162162162162162,0.04054054054054057,0.6756756756756757,0.7162162162162162,0.0,0.0,0.0,0.0,transfer,
cnn_features_1d,spinel5v,lirich,common,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,fcg,nmc,common,0.6351351351351351,0.6486486486486487,0.013513513513513598,0.6351351351351351,0.6486486486486487,0.0,0.0,0.0,0.0,transfer,
