Architecture,Summary,Target BA,Zhao Baseline (proxy),Improvement Over Zhao
CNN,deterministic_cnn,0.6454217256984731,0.6395467441268972,0.005874981571575955
CNN+SNGP,ablate_openmax_off,0.6395467441268972,0.6395467441268972,0.0
CNN+OpenMax,ablate_sngp_off,0.6563300782180348,0.6395467441268972,0.016783334091137636
WRN+SA+SNGP,sngp_wrn_sa,0.6512623075452469,0.6395467441268972,0.011715563418349784
LLM pick,llm_pick,0.6559799381620124,0.6395467441268972,0.01643319403511523
