tag,model_name,method,droprate,lr,batch_size,lambda_src,summary_csv,avg_improvement
llm_pick,cnn_openmax,sngp,0.3,0.001,64,1.0,checkpoint/llm_run_20251209_171436/compare/llm_pick_summary_1209_194639_CWRU_inconsistent.csv,0.016433194035115267
deterministic_cnn,cnn_features_1d,deterministic,0.3,0.001,64,1.0,checkpoint/llm_run_20251209_171436/compare/deterministic_cnn_summary_1209_211111_CWRU_inconsistent.csv,0.005874981571575975
sngp_wrn_sa,WideResNet_sa,sngp,0.3,0.001,64,1.0,checkpoint/llm_run_20251209_171436/compare/sngp_wrn_sa_summary_1210_012802_CWRU_inconsistent.csv,0.011715563418349792
