model_base,source,target,comparison_metric_base,baseline_score_base,transfer_score_base,improvement_base,raw_transfer_score_base,raw_improvement_base,baseline_accuracy_base,transfer_accuracy_base,raw_transfer_accuracy_base,baseline_common_acc_base,transfer_common_acc_base,raw_transfer_common_acc_base,baseline_outlier_acc_base,transfer_outlier_acc_base,raw_transfer_outlier_acc_base,baseline_hscore_base,transfer_hscore_base,raw_transfer_hscore_base,transfer_uncertainty_mean_entropy_base,final_model_base,note_base,model_improved,comparison_metric_improved,baseline_score_improved,transfer_score_improved,improvement_improved,raw_transfer_score_improved,raw_improvement_improved,baseline_accuracy_improved,transfer_accuracy_improved,raw_transfer_accuracy_improved,baseline_common_acc_improved,transfer_common_acc_improved,raw_transfer_common_acc_improved,baseline_outlier_acc_improved,transfer_outlier_acc_improved,raw_transfer_outlier_acc_improved,baseline_hscore_improved,transfer_hscore_improved,raw_transfer_hscore_improved,transfer_uncertainty_mean_entropy_improved,final_model_improved,note_improved,pair,delta
cnn_features_1d,nmc,spinel5v,accuracy,0.25,0.4166666666666667,0.1666666666666666,0.4166666666666667,0.1666666666666666,0.25,0.4166666666666667,0.4166666666666667,0.25,0.4166666666666667,0.4166666666666667,0.0,0.0,0.0,0.25,0.4166666666666667,0.4166666666666667,,transfer,,cnn_features_1d_sa,accuracy,0.25,0.25,0.0,0.1666666666666666,-0.0833333333333333,0.25,0.25,0.1666666666666666,0.25,0.25,0.1666666666666666,0.0,0.0,0.0,0.25,0.25,0.1666666666666666,1.8550192664066951,baseline,baseline_kept,nmc→spinel5v,-0.16666666666666669
cnn_features_1d,nmc,fcg,accuracy,1.0,1.0,0.0,0.3333333333333333,-0.6666666666666667,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,,baseline,baseline_kept,cnn_features_1d_sa,accuracy,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0723043282826743,baseline,baseline_kept,nmc→fcg,0.0
cnn_features_1d,lirich,spinel5v,accuracy,0.25,0.25,0.0,0.1666666666666666,-0.0833333333333333,0.25,0.25,0.1666666666666666,0.25,0.25,0.1666666666666666,0.0,0.0,0.0,0.25,0.25,0.1666666666666666,,baseline,baseline_kept,cnn_features_1d_sa,accuracy,0.25,0.3333333333333333,0.0833333333333333,0.3333333333333333,0.0833333333333333,0.25,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.25,0.3333333333333333,0.3333333333333333,2.301452159881592,transfer,,lirich→spinel5v,0.08333333333333331
cnn_features_1d,spinel5v,nmc,accuracy,0.4054054054054054,0.5,0.0945945945945945,0.5,0.0945945945945945,0.4054054054054054,0.5,0.5,0.4054054054054054,0.5,0.5,0.0,0.0,0.0,0.4054054054054054,0.5,0.5,,transfer,,cnn_features_1d_sa,accuracy,0.4054054054054054,0.6891891891891891,0.2837837837837837,0.6891891891891891,0.2837837837837837,0.4054054054054054,0.6891891891891891,0.6891891891891891,0.4054054054054054,0.6891891891891891,0.6891891891891891,0.0,0.0,0.0,0.4054054054054054,0.6891891891891891,0.6891891891891891,1.4815748301712242,transfer,,spinel5v→nmc,0.18918918918918914
cnn_features_1d,spinel5v,lirich,accuracy,1.0,1.0,0.0,0.75,-0.25,1.0,1.0,0.75,1.0,1.0,0.75,0.0,0.0,0.0,1.0,1.0,0.75,,baseline,baseline_kept,cnn_features_1d_sa,accuracy,1.0,1.0,0.0,0.5,-0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,2.2810683250427246,baseline,baseline_kept,spinel5v→lirich,0.0
cnn_features_1d,fcg,nmc,accuracy,0.4054054054054054,0.4054054054054054,0.0,0.3648648648648648,-0.0405405405405405,0.4054054054054054,0.4054054054054054,0.3648648648648648,0.4054054054054054,0.4054054054054054,0.3648648648648648,0.0,0.0,0.0,0.4054054054054054,0.4054054054054054,0.3648648648648648,,baseline,baseline_kept,cnn_features_1d_sa,accuracy,0.2837837837837837,0.4324324324324324,0.1486486486486486,0.4324324324324324,0.1486486486486486,0.2837837837837837,0.4324324324324324,0.4324324324324324,0.2837837837837837,0.4324324324324324,0.4324324324324324,0.0,0.0,0.0,0.2837837837837837,0.4324324324324324,0.4324324324324324,1.6179145824264836,transfer,,fcg→nmc,0.02702702702702703
