model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_accuracy,transfer_accuracy,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,transfer_uncertainty_mean_entropy,final_model,note
cnn_openmax,0,1,accuracy,0.7947368421052632,0.8736842105263158,0.07894736842105265,0.7947368421052632,0.8736842105263158,0.9096385542168675,1.0,0.0,0.0,0.0,0.0,0.06617294942259258,transfer,
cnn_openmax,0,2,accuracy,0.8210526315789474,0.8736842105263158,0.052631578947368474,0.8210526315789474,0.8736842105263158,0.9341317365269461,0.9940119760479041,0.0,0.0,0.0,0.0,0.17607313077215192,transfer,
cnn_openmax,0,3,accuracy,0.8210526315789474,0.8315789473684211,0.010526315789473717,0.8210526315789474,0.8315789473684211,0.9873417721518988,1.0,0.0,0.0,0.0,0.0,0.11439723512790614,transfer,
cnn_openmax,1,0,accuracy,0.7478991596638656,0.7983193277310925,0.050420168067226934,0.7478991596638656,0.7983193277310925,0.9319371727748691,0.9947643979057592,0.0,0.0,0.0,0.0,0.07764873365671875,transfer,
cnn_openmax,1,2,accuracy,0.5052631578947369,0.5052631578947369,0.0,0.5052631578947369,0.5052631578947369,1.0,1.0,0.0,0.0,0.0,0.0,0.26706335128707764,baseline,baseline_kept
cnn_openmax,1,3,accuracy,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.4096758473436542,baseline,baseline_kept
cnn_openmax,2,0,accuracy,0.4392523364485981,0.4439252336448598,0.004672897196261683,0.4392523364485981,0.4439252336448598,0.9894736842105263,1.0,0.0,0.0,0.0,0.0,0.24180617597428472,transfer,
cnn_openmax,2,1,accuracy,0.36398467432950193,0.36398467432950193,0.0,0.36398467432950193,0.36398467432950193,1.0,1.0,0.0,0.0,0.0,0.0,0.2278574389437663,baseline,baseline_kept
cnn_openmax,2,3,accuracy,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.7514511502813548,baseline,baseline_kept
cnn_openmax,3,0,accuracy,0.5052631578947369,0.5052631578947369,0.0,0.5052631578947369,0.5052631578947369,1.0,1.0,0.0,0.0,0.0,0.0,0.5074982970658886,baseline,baseline_kept
cnn_openmax,3,1,accuracy,0.8380281690140845,0.8380281690140845,0.0,0.8380281690140845,0.8380281690140845,1.0,1.0,0.0,0.0,0.0,0.0,0.14602691923517366,baseline,baseline_kept
cnn_openmax,3,2,accuracy,0.8380281690140845,0.8380281690140845,0.0,0.8380281690140845,0.8380281690140845,1.0,1.0,0.0,0.0,0.0,0.0,0.19790409236464282,baseline,baseline_kept
