model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,final_model,note
cnn_features_1d_sa,nmc,spinel5v,common,0.9166666666666666,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d_sa,nmc,fcg,common,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d_sa,lirich,spinel5v,common,0.6666666666666666,0.75,0.08333333333333337,0.6666666666666666,0.75,0.0,0.0,0.0,0.0,transfer,
cnn_features_1d_sa,spinel5v,nmc,common,0.7432432432432432,0.8243243243243243,0.08108108108108114,0.7432432432432432,0.8243243243243243,0.0,0.0,0.0,0.0,transfer,
cnn_features_1d_sa,spinel5v,lirich,common,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d_sa,fcg,nmc,common,0.7027027027027027,0.8243243243243243,0.1216216216216216,0.7027027027027027,0.8243243243243243,0.0,0.0,0.0,0.0,transfer,
