pair,sngp_transfer_score,no_sngp_transfer_score,score_delta_sngp_minus_no_sngp,sngp_entropy,no_sngp_entropy,entropy_delta_sngp_minus_no_sngp
nmc->spinel5v,0.5,1.0,-0.5,1.60794793566068,0.0,1.60794793566068
nmc->fcg,1.0,1.0,0.0,1.6086380084355671,0.0,1.6086380084355671
lirich->spinel5v,0.4166666666666667,1.0,-0.5833333333333333,1.6051992277304332,0.0,1.6051992277304332
spinel5v->nmc,0.4189189189189189,0.817923186344239,-0.3990042674253201,1.5685745534059163,0.0,1.5685745534059163
spinel5v->lirich,1.0,1.0,0.0,1.587869942188263,0.0,1.587869942188263
fcg->nmc,0.40540540540540543,0.8413940256045519,-0.43598862019914647,1.5774666280359835,0.0,1.5774666280359835
