model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,final_model,note
WideResNet_sa,nmc,spinel5v,common,0.8245614035087719,0.8245614035087719,0.0,0.8245614035087719,0.8245614035087719,0.0,0.0,0.0,0.0,baseline,baseline_kept
WideResNet_sa,nmc,fcg,common,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
WideResNet_sa,lirich,spinel5v,common,0.7631578947368421,0.9035087719298246,0.14035087719298245,0.7631578947368421,0.9035087719298246,0.0,0.0,0.0,0.0,transfer,
WideResNet_sa,spinel5v,nmc,common,0.9480796586059744,0.9544807965860598,0.006401137980085347,0.9480796586059744,0.9544807965860598,0.0,0.0,0.0,0.0,transfer,
WideResNet_sa,spinel5v,lirich,common,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
WideResNet_sa,fcg,nmc,common,0.972972972972973,0.972972972972973,0.0,0.972972972972973,0.972972972972973,0.0,0.0,0.0,0.0,baseline,baseline_kept
